Date,Open,High,Low,Close,Volume,Stock,Ticker,Sector,Year,Month,Month_Name,Quarter,Daily_return,Volatility_30D
2020-07-21,794.6753591001112,800.5769435770818,776.4183542509502,781.7481689453125,3316480,Dr Reddys,DRREDDY.NS,Pharma,2020,7,July,3,-1.4308051927023446,1.1369781893509514
2020-07-22,785.624402378986,800.4412660226488,780.1007643797842,787.1845703125,4093845,Dr Reddys,DRREDDY.NS,Pharma,2020,7,July,3,0.6954159386803438,1.1440321429195233
2020-07-23,792.8631889706852,802.3793374862855,787.2620692792243,800.4412231445312,3559780,Dr Reddys,DRREDDY.NS,Pharma,2020,7,July,3,1.6840590291002044,1.1565259887512684
2020-07-24,800.4412076432988,810.1123790944642,785.256098630762,788.027587890625,5479715,Dr Reddys,DRREDDY.NS,Pharma,2020,7,July,3,-1.5508490686098497,1.1707661368724587
2020-07-27,791.719692132458,791.845674293775,768.0650331080395,778.28857421875,2909240,Dr Reddys,DRREDDY.NS,Pharma,2020,7,July,3,-1.2358721726918431,1.1949546877829915
2020-07-28,778.9281671932823,793.0764378314159,776.6702473514267,785.197998046875,2592970,Dr Reddys,DRREDDY.NS,Pharma,2020,7,July,3,0.8877714586855712,1.20437977821101
2020-07-29,791.225535324831,840.3664491897167,789.8591906428157,833.8156127929688,24766165,Dr Reddys,DRREDDY.NS,Pharma,2020,7,July,3,6.1917649901078065,1.6375273353208888
2020-07-30,851.5880721687394,883.7801223581494,841.1416076829755,875.3687133789062,31472050,Dr Reddys,DRREDDY.NS,Pharma,2020,7,July,3,4.983487949661947,1.8483296223845949
2020-07-31,868.0813972855087,882.0067440261888,863.5074758533259,876.231201171875,7910670,Dr Reddys,DRREDDY.NS,Pharma,2020,7,July,3,0.09852851487455183,1.847313509504561
2020-08-03,876.231195209625,905.0993866893222,872.1514432766488,877.4715576171875,12183250,Dr Reddys,DRREDDY.NS,Pharma,2020,8,August,3,0.14155584093029638,1.8475352542477839
2020-08-04,878.1015073346528,902.0662730164674,870.2424676205397,898.2869262695312,8332715,Dr Reddys,DRREDDY.NS,Pharma,2020,8,August,3,2.3721986737517575,1.8629104943948043
2020-08-05,902.2018799546197,904.2659763546892,887.9858285463464,891.7166748046875,5060070,Dr Reddys,DRREDDY.NS,Pharma,2020,8,August,3,-0.7314201367851547,1.8362383625516876
2020-08-06,893.4803686533611,902.7735933534748,885.2433830966813,888.2474365234375,4587005,Dr Reddys,DRREDDY.NS,Pharma,2020,8,August,3,-0.38905163257263453,1.8256502248287159
2020-08-07,889.5945445367464,912.2705075659148,883.8867832094136,886.3966674804688,8326715,Dr Reddys,DRREDDY.NS,Pharma,2020,8,August,3,-0.2083618783311758,1.8257636950361669
